Title,Description,Local Image Filename
MU XIANG SHUN QI WAN (Reduce Bloating),"MU XIANG SHUN QI WAN (Reduce Bloating)It can move Qi and resolve dampness, strengthen the Spleen and harmonize the Stomach. It is used to treat Pi symptoms in the chest, abdominal distention and ache, vomiting and nausea, belching and poor appetite, which are caused by dampness accumulation in the Middle Jiao and disharmony between the Spleen and Stomach.",MU_XIANG_SHUN_QI_WAN_(Reduce_Bloating).png
PIAN TOU TONG WAN (Migraine Pill),PIAN TOU TONG WAN (Migraine Pill)Pian Tou Tong Wan is a herbal formula helps to expel Wind and supports normal head comfort. It is used for migraine and headache. It can also helps for joint pain.,PIAN_TOU_TONG_WAN_(Migraine_Pill).png
QI JU DI HUANG WAN (Nourish Yin & Eye),"QI JU DI HUANG WAN (Nourish Yin & Eye)It nourishes Liver Yin and Blood, nourishes Kidney Yin, benefits the eyes. It is used for dry eyes with diminished vision, tearing with exposure to wind, photophobia, eye pain.",QI_JU_DI_HUANG_WAN_(Nourish_Yin_&_Eye).png
QIAN LIE SHU WAN (Prostate Health),"QIAN LIE SHU WAN (Prostate Health)It tonifies the Kidneys and supports prostate and urinary health, clears deficiency heat, drains dampness and promotes urination. It can be used for chronic prostatitis, benign prostatic hyperplasia and rehabilitation after prostate chemoradiation. It can also be used for middle-aged and elderly prostate health care.",QIAN_LIE_SHU_WAN_(Prostate_Health).png
QING QI HUA TAN WAN (Phlegm Clear),"QING QI HUA TAN WAN (Phlegm Clear)It clears heat from the lung and dissolves phlegm, direct Qi downward and calm the respiratory tract. It is used for clearing phlegm and supporting respiratory health, for cases that the tongue is red with a greasy and yellow coating. The pulse is rapid and slippery.",QING_QI_HUA_TAN_WAN_(Phlegm_Clear).png
QING RE AN CHUANG WAN (Acne & Boil),"QING RE AN CHUANG WAN (Acne & Boil)It can clear heat and detoxify, cool blood and remove stasis, purge fire and move bowels. It is used for treating acne, boil, furuncle, etc.",QING_RE_AN_CHUANG_WAN_(Acne_&_Boil).png
SHAO FU ZHU YU WAN (Abdominal Stasis),"SHAO FU ZHU YU WAN (Abdominal Stasis)It circulation and Qi flow to resolve blood stasis. It is for warming the uterus, expelling the source of external cold, and promoting blood. It removes blood stasis in the lower abdomen and warms menses, and also helps to support the normal uterus function and promote female reproductive health.",SHAO_FU_ZHU_YU_WAN_(Abdominal_Stasis).png
SHEN JING SHUAI RUO WAN (Brain Tonic Pills),"SHEN JING SHUAI RUO WAN (Brain Tonic Pills)This formula can tonify the Kidney and essence, reinforce intelligence and calm mind. It is used for impaired concentration, dizziness, insomnia, dreaminess, upset, tiredness and faintness.",SHEN_JING_SHUAI_RUO_WAN_(Brain_Tonic_Pills).png
SHEN LING BAI ZHU WAN (Consolidate Digestion),"SHEN LING BAI ZHU WAN (Consolidate Digestion)It helps to tonify Spleen and Stomach, enhance Lung Qi. It is used for Spleen and Stomach Qi Deficiency, poor appetite, diarrhea, short breath and cough, weak extremities and fatigue. Chronic Fatigue Syndrome, Diarrhea, HIV / AIDS, Indigestion, Irritable Bowel Syndrome, Vaginal Discharge.",SHEN_LING_BAI_ZHU_WAN_(Consolidate_Digestion).png
SHENG MAI WAN (Generate Pulse),"SHENG MAI WAN (Generate Pulse)It can tonify Qi, nourish Yin and generate body fluid. It is used for Qi and Yin deficiency, palpitation, short breath and spontaneous sweating. It can also support physical power, and suit for exercising and physical activities.",SHENG_MAI_WAN_(Generate_Pulse).png
SHOU WU WAN ( Fo Ti Hair Tonic),"SHOU WU WAN ( Fo Ti Hair Tonic)He Shou Wu may support hair growth, support hair original color, and support bones and muscles associated with aging. This formulation is used to further enhance the action of He Shou Wu. It can nourish Liver and Kidney, strengthen the bones and muscle, and maintain hair original color.",SHOU_WU_WAN_(_Fo_Ti_Hair_Tonic).png
SI JUN ZI WAN (Four Gentlemen),"SI JUN ZI WAN (Four Gentlemen)It can tonify Qi and Spleen. It is used for Qi Deficiency in Stomach and Spleen, symptoms include sallow complexion, weak voice, short breath and fatigue, poor appetite and loose stool, pale tongue, week pulse. It can treat chronic gastritis and peptic ulcer.",SI_JUN_ZI_WAN_(Four_Gentlemen).png
SI MIAO WAN (Clear Dampness),"SI MIAO WAN (Clear Dampness)It clears Heat and eliminates Dampness, helps to regulate blood flow in the lower extremities, metabolize fluids and support normal joint function. It is used for damp-heat in lower body, such as stiff joints, weak limbs, tendon and bone pain, eczema. It can be used for acute polyneuritis, rheumatoid arthritis and vagina infection.",SI_MIAO_WAN_(Clear_Dampness).png
SI WU TANG WAN (Nourish Blood),"SI WU TANG WAN (Nourish Blood)Si Wu Tang has the effect of nourishing Blood and regulating menstruation. It is widely used in Blood Deficiency and Blood Stasis Syndromes. It is used for anemia, hypermenorrhea, irregular menstruation, postnatal uterine bleeding, dysmenorrhoea, amenorrhoea, chronic headache and migraine.",SI_WU_TANG_WAN_(Nourish_Blood).png
TAO HONG SI WU WAN (Blood Deficiency & Stagnation),"TAO HONG SI WU WAN (Blood Deficiency & Stagnation)It tonifies and invigorates the blood, regulates blood circulation, breaks up blood stagnation, regulates menstruation, alleviates pain. It can be used for inflammation, hyperlipidemia, anemia, fatigue, weak immunity, infertility, postpartum weakness, dysmenorrhea, amenorrhea, irregular menstruation, infertility, dermatitis, eczema, acne, fibrocystic breast disease, insomnia, etc.",TAO_HONG_SI_WU_WAN_(Blood_Deficiency_&_Stagnation).png
TE XIAO BI MIN GAN WAN (Nasal Allergy),"TE XIAO BI MIN GAN WAN (Nasal Allergy)Nasal Allergy is specially formulated for supporting clear and healthy nasal passages. It disperses Wind and expels toxins. The herbs in this special formula dissolve phlegm, clear discharge and support healthy nasal and sinus passages.",TE_XIAO_BI_MIN_GAN_WAN_(Nasal_Allergy).png
TE XIAO JING ZHUI TONG WAN (Neck Relief),"TE XIAO JING ZHUI TONG WAN (Neck Relief)It helps to improve Qi (energy) flow, relax muscles and tendons and activate the energy channels (meridians). It is used to support the muscles and tendons around the neck, relief neck pain.",TE_XIAO_JING_ZHUI_TONG_WAN_(Neck_Relief).png
TIAN MA GOU TENG WAN (Liver Wind Clear),"TIAN MA GOU TENG WAN (Liver Wind Clear)It calms the liver and extinguishes wind. It alleviates symptoms associated with internal liver wind. It can be used for dizziness, hypertension, headache, eyelid twitch, vertigo, stroke, neurasthenia, paresthesia, parkinson's disease, alzheimer's disease, stress, palpitations, facial paralysis, eye pain, puerperal eclampsia, hemiplegia, trigeminal neuralgia, apoplexy, migraine, insomnia, meniere’s disease, facial spasms, etc.",TIAN_MA_GOU_TENG_WAN_(Liver_Wind_Clear).png
TIAN WANG BU XIN WAN (Nourish Heart Yin),"TIAN WANG BU XIN WAN (Nourish Heart Yin)It helps for nourishing Yin and blood, and tonifying the heart to tranquilize the mind. It is used to replenish the Blood and Yin, and support Heart functions. It calms the mind and supports a restful sleep. It may be used to support a normal heart function, support a more restful sleep, and support mental calmness.",TIAN_WANG_BU_XIN_WAN_(Nourish_Heart_Yin).png
TIAO JING CU YUN WAN (Fertility Aid),"TIAO JING CU YUN WAN (Fertility Aid)It warms the kidney and invigorate the spleen, and regulate menstruation. It is used for infertility,  irregular menstruation, dysmenorrhea, amenorrhea and sterility caused by yang deficiency in the spleen and kidney and stagnation of blood, with manifestations of delayed menstrual periods, scanty menstrual blood with clots, cold pain in the lower abdomen.",TIAO_JING_CU_YUN_WAN_(Fertility_Aid).png
TONG JING WAN (Period Pain Pills),"TONG JING WAN (Period Pain Pills)It can warm channels and expel cold, invigorate blood circulation and remove stasis. It is used for period pain and support a smooth menstruation.",TONG_JING_WAN_(Period_Pain_Pills).png
WEN JING WAN (Warm Mense),"WEN JING WAN (Warm Mense)It can promote blood circulation and remove blood stasis, warm and unblock meridians, regulate Qi and relieve pain. It is used for period pain and irregular menstruation with Cold syndrome. Symptoms include pale complexion, fatigue, low energy, dry mouth and rough skin.",WEN_JING_WAN_(Warm_Mense).png
WU JI BAI FENG WAN (Lady's Tonic),"WU JI BAI FENG WAN (Lady's Tonic)It replenishes the body's Qi, nourishes the blood, and supports the normal menstrual cycle. It is the most popular herbal supplement used by women in China to maintain overall health. It helps for weak constitution, fatigue, irregular menstruation, weak waist and knees, leucorrhea, etc.",WU_JI_BAI_FENG_WAN_(Lady's_Tonic).png
WU LING WAN (Edema Relief),"WU LING WAN (Edema Relief)It can clear dampness and promote diuresis. It is used for stagnated fluid syndrome. It can be used for acute and chronic nephritis, edema, ascites due to cirrhosis, cardiac edema, acute enteritis, retention of urine, hydrocephalus, etc.",WU_LING_WAN_(Edema_Relief).png
WU ZI YAN ZONG WAN (Men's Fertility),"WU ZI YAN ZONG WAN (Men's Fertility)Wu Zi Yan Zong Wan is indicated in China Pharmacopoeia1 for tonifying the kidney and nourishing Jing. It is suitable for use in the case of the kidney deficiency presented with lower back weakness, dribbling in urination, nocturnal emission, and poor male performance.",WU_ZI_YAN_ZONG_WAN_(Men's_Fertility).png
XIANG SHA LIU JUN WAN (Stomach Harmonize),"XIANG SHA LIU JUN WAN (Stomach Harmonize)It can strengthen the Spleen, harmonize the Stomach, and tonify Qi. It is used for Spleen and Stomach Qi deficiency with damp-cold stagnation affecting the middle jiao (middle burner). Signs and symptoms may include reduced appetite, abdominal fullness, bloating after eating, feeling of going to throw up, or loose stool.",XIANG_SHA_LIU_JUN_WAN_(Stomach_Harmonize).png
XIANG SHA YANG WEI WAN (Stomach Tonic),"XIANG SHA YANG WEI WAN (Stomach Tonic)Xiang Sha Yang Wei Wan warms the Middle Energizer to harmonize the Stomach. | It is for warming Stomach and regulating Stomach Qi | It improves the functionality of the digestive system. | It can be used for acid reflux, fullness in stomach, indigestion, nausea, pain in the epigastrium, poor appetite, stomachache, etc. | Indications include stomach-ache, distension after eating, poor appetite, loose stools and fatigue, uncomfortable fullness, noisy discomfort etc. caused by inadequate Stomach Yang, Dampness and Stagnation of Qi.",XIANG_SHA_YANG_WEI_WAN_(Stomach_Tonic).png
XIAO CHAI HU TANG WAN (Shaoyang Harmonize),"XIAO CHAI HU TANG WAN (Shaoyang Harmonize)This product is used for ShaoYang pattern, with symptoms include a feeling of both chills and heat, a feeling of rib-sides fullness, a bitter taste in the mouth, reduced appetite, and short temper.",XIAO_CHAI_HU_TANG_WAN_(Shaoyang_Harmonize).png
XIAO HUO LUO WAN (Unblock Meridian),"XIAO HUO LUO WAN (Unblock Meridian)It invigorates the blood, unblocks the channels, dispels wind and dampness and transforms phlegm to relieve numbness and discomfort. It can be used for windstroke, Osteoarthritis, Peripheral nerve disorders, Sciatica, Hemiplegia, Arthralgia, Hemilateral sweating, Rheumatoid arthritis, Soft tissue injuries, Post stroke sequelae, Weakness, Paralysis, Unilateral pain, etc.",XIAO_HUO_LUO_WAN_(Unblock_Meridian).png
XIAO YAO WAN (Ease Life),"XIAO YAO WAN (Ease Life)It nourishes the Liver and smooth Liver Qi. It is used for irregular, late or lack of menstruation, premenstrual tension, PMS, infertility, low libido and many other diseases including depression. It can also be used for chronic hepatitis, liver cirrhosis and other syndromes.",XIAO_YAO_WAN_(Ease_Life).png
XUE FU ZHU YU WAN (Blood Stasis),"XUE FU ZHU YU WAN (Blood Stasis)It helps for promoting Blood circulation and removing Blood Stasis, moving Qi and relieving pain. It was originally intended to treat cardiovascular system disorders. Now it is widely used in various Blood Stagnation disorders, symptoms include chest pain, headache, localize sharp pain, hiccup retching, annoyed, palpitation, insomnia, etc.",XUE_FU_ZHU_YU_WAN_(Blood_Stasis).png
YANG XUE SHENG FA WAN (Hair Grow Pills),"YANG XUE SHENG FA WAN (Hair Grow Pills)It can nourish the Blood, expel Wind, tonify Kidney and replenish Essence. It is used for hair loss due to deficiency of blood and kidney essence, symptoms include loose hair root or sparse hair loss, dry or greasy hair, scalp iching, alopecia areata, and hair loss after illness or delivery, etc.",YANG_XUE_SHENG_FA_WAN_(Hair_Grow_Pills).png
